batsman,total_runs,total_balls,fours,sixes,innings,dismissals,strike_rate,average,player_type
PP Chawla,584,524,54,18,75,50.0,111.5,11.7,Support
Q de Kock,1478,1110,156,54,50,46.0,133.2,32.1,Match Winner
R Ashwin,377,339,32,10,50,33.0,111.2,11.4,Support
R Bhatia,342,284,24,13,47,29.0,120.4,11.8,Support
R Dravid,2174,1882,269,28,82,77.0,115.5,28.2,Anchor
R Sathish,270,231,22,6,24,16.0,116.9,16.9,Support
R Vinay Kumar,310,274,21,9,42,26.0,113.1,11.9,Support
RA Jadeja,1939,1571,137,65,125,83.0,123.4,23.4,Support
RA Tripathi,761,552,73,27,33,27.0,137.9,28.2,Match Winner
RG Sharma,4902,3744,431,194,182,162.0,130.9,30.3,Match Winner
RN ten Doeschate,326,235,26,15,21,17.0,138.7,19.2,Aggressive
RR Pant,1767,1071,154,94,54,49.0,165.0,36.1,Match Winner
RS Bopara,531,453,39,16,22,19.0,117.2,27.9,Anchor
RV Uthappa,4422,3382,436,156,170,157.0,130.8,28.2,Match Winner
S Badrinath,1441,1212,154,28,65,48.0,118.9,30.0,Anchor
S Dhawan,4604,3670,526,96,158,136.0,125.4,33.9,Anchor
S Gill,510,377,45,15,23,14.0,135.3,36.4,Match Winner
S Sohal,368,292,34,18,20,18.0,126.0,20.4,Support
SA Asnodkar,423,339,56,10,19,19.0,124.8,22.3,Support
SA Yadav,608,465,54,21,42,28.0,130.8,21.7,Aggressive
SC Ganguly,1349,1263,137,42,56,54.0,106.8,25.0,Support
SE Marsh,2477,1866,266,78,69,64.0,132.7,38.7,Match Winner
SK Raina,5382,3914,495,194,189,160.0,137.5,33.6,Match Winner
SK Warne,198,214,14,6,27,19.0,92.5,10.4,Support
SN Khan,412,286,44,11,22,18.0,144.1,22.9,Aggressive
SP Goswami,299,291,33,3,19,18.0,102.7,16.6,Support
SP Narine,785,458,94,44,54,40.0,171.4,19.6,Aggressive
SPD Smith,2028,1568,180,49,72,59.0,129.3,34.4,Match Winner
SR Tendulkar,2333,1947,296,29,78,69.0,119.8,33.8,Anchor
SR Watson,3585,2563,343,177,130,114.0,139.9,31.4,Match Winner
SS Iyer,1696,1325,150,67,61,57.0,128.0,29.8,Match Winner
SS Tiwary,1276,1067,93,45,64,43.0,119.6,29.7,Anchor
ST Jayasuriya,768,532,84,39,30,29.0,144.4,26.5,Match Winner
STR Binny,880,683,66,35,66,44.0,128.8,20.0,Aggressive
SV Samson,2220,1696,171,89,88,79.0,130.9,28.1,Match Winner
SW Billings,337,250,31,10,19,19.0,134.8,17.7,Aggressive
Shakib Al Hasan,748,589,69,20,46,34.0,127.0,22.0,Support
TL Suman,676,575,55,26,39,30.0,117.6,22.5,Support
TM Dilshan,1153,1007,140,24,50,41.0,114.5,28.1,Anchor
UBT Chand,300,300,32,9,20,20.0,100.0,15.0,Support
V Kohli,5421,4112,481,191,169,152.0,131.8,35.7,Match Winner
V Sehwag,2728,1755,334,106,104,98.0,155.4,27.8,Match Winner
V Shankar,563,416,34,24,27,17.0,135.3,33.1,Match Winner
VVS Laxman,282,267,33,5,20,15.0,105.6,18.8,Support
WP Saha,1772,1346,161,59,93,76.0,131.6,23.3,Aggressive
Y Nagar,285,259,20,9,20,15.0,110.0,19.0,Support
Y Venugopal Rao,985,836,77,37,52,42.0,117.8,23.5,Support
YK Pathan,3210,2241,263,159,153,111.0,143.2,28.9,Match Winner
Yuvraj Singh,2751,2120,217,149,126,109.0,129.8,25.2,Match Winner
